Sample Number ,Sample Type ,Extraction Kit ,Bead Type ,Homogeniser 
1 ,ZymoBIOMICS Community Standard 1 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
2 ,ZymoBIOMICS Community Standard 1 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
3 ,ZymoBIOMICS Community Standard 1 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
4 ,ZymoBIOMICS Community Standard 1 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
5 ,ZymoBIOMICS Community Standard 1:10 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
6 ,ZymoBIOMICS Community Standard 1:10 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
7 ,ZymoBIOMICS Community Standard 1:10 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
8 ,ZymoBIOMICS Community Standard 1:10 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
9 ,ZymoBIOMICS Community Standard 1:100 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
10 ,ZymoBIOMICS Community Standard 1:100 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
11 ,ZymoBIOMICS Community Standard 1:100 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
12 ,ZymoBIOMICS Community Standard 1:100 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
13 ,ZymoBIOMICS Community Standard 1:1000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
14 ,ZymoBIOMICS Community Standard 1:1000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
15 ,ZymoBIOMICS Community Standard 1:1000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
16 ,ZymoBIOMICS Community Standard 1:1000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
17 ,ZymoBIOMICS Community Standard 1:10000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
18 ,ZymoBIOMICS Community Standard 1:10000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
19 ,ZymoBIOMICS Community Standard 1:10000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
20 ,ZymoBIOMICS Community Standard 1:10000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
21 ,ZymoBIOMICS Community Standard 1:100000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
22 ,ZymoBIOMICS Community Standard 1:100000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
23 ,ZymoBIOMICS Community Standard 1:100000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
24 ,ZymoBIOMICS Community Standard 1:100000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
25 ,ZymoBIOMICS Community Standard 1:1000000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
26 ,ZymoBIOMICS Community Standard 1:1000000 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
27 ,ZymoBIOMICS Community Standard 1:1000000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
28 ,ZymoBIOMICS Community Standard 1:1000000 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
29 ,PBS ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
30 ,PBS ,Qiagen PowerFecal Pro ,PowerBead Pro ,Vortex Adapter 
31 ,PBS ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
32 ,PBS ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Vortex Adapter 
33 ,ZymoBIOMICS Community Standard 1 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
34 ,ZymoBIOMICS Community Standard 1 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
35 ,ZymoBIOMICS Community Standard 1 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
36 ,ZymoBIOMICS Community Standard 1 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
37 ,ZymoBIOMICS Community Standard 1:10 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
38 ,ZymoBIOMICS Community Standard 1:10 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
39 ,ZymoBIOMICS Community Standard 1:10 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
40 ,ZymoBIOMICS Community Standard 1:10 ,ZymoBIOMICS DNA Microprep kit ,ZR Bashing Beads ,Tissue Lyser II 
41 ,ZymoBIOMICS Community Standard 1:100 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
42 ,ZymoBIOMICS Community Standard 1:100 ,Qiagen PowerFecal Pro ,PowerBead Pro ,Tissue Lyser II 
